"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"EC","GO:0006900","vesicle budding from membrane","8/288","88/18860",0.0909090909090909,5.95328282828283,5.79969862462811,5.9917983471279e-05,0.00355284174123961,0.00289818995116471,"302/6281/91782/8120/8943/8301/26052/399687",8
"EC","GO:0016197","endosomal transport","15/288","300/18860",0.05,3.27430555555556,4.94477676962465,6.24800453803444e-05,0.0036450052280759,0.00297337125978107,"11151/7430/9146/51534/7874/1639/91782/5594/4478/51699/8943/8301/29934/65009/88",15
"EC","GO:0046209","nitric oxide metabolic process","8/288","89/18860",0.0898876404494382,5.88639200998752,5.75394677600733,6.49761023295838e-05,0.00367243478946001,0.00299574661026335,"1191/6697/8570/6648/3320/9475/1727/3326",8
"EC","GO:0044282","small molecule catabolic process","17/288","373/18860",0.0455764075067024,2.98462168602919,4.82086715950512,6.4980875456301e-05,0.00367243478946001,0.00299574661026335,"2639/2746/1737/217/57103/10247/128/1384/10455/23475/51181/2875/5224/6652/4357/2098/11112",17
"EC","GO:0035966","response to topologically incorrect protein","11/288","172/18860",0.063953488372093,4.18806524547804,5.23041619876724,6.97618619808673e-05,0.00382369403019095,0.00311913460315331,"22824/9531/3315/8440/1191/23071/3320/3303/26353/3326/11080",11
"EC","GO:0098869","cellular oxidant detoxification","8/288","90/18860",0.0888888888888889,5.82098765432099,5.70888604809447,7.03841208915541e-05,0.00382369403019095,0.00311913460315331,"3240/1356/9588/6649/2876/5052/6648/847",8
"EC","GO:0031113","regulation of microtubule polymerization","7/288","67/18860",0.104477611940299,6.84183250414594,5.96505815275817,7.15421716036316e-05,0.00382369403019095,0.00311913460315331,"22924/1639/23332/3303/3304/221074/4204",7
"EC","GO:0030038","contractile actin filament bundle assembly","9/288","116/18860",0.0775862068965517,5.08081896551724,5.48998834368704,7.29430157819119e-05,0.00382369403019095,0.00311913460315331,"10391/7168/10580/22843/6281/23332/9475/408/5217",9
"EC","GO:0043149","stress fiber assembly","9/288","116/18860",0.0775862068965517,5.08081896551724,5.48998834368704,7.29430157819119e-05,0.00382369403019095,0.00311913460315331,"10391/7168/10580/22843/6281/23332/9475/408/5217",9
"EC","GO:0042060","wound healing","19/288","453/18860",0.0419426048565121,2.74665808192298,4.68588611338809,7.40851087320766e-05,0.00382808340405602,0.00312271518460167,"325/79026/3315/302/5265/301/710/2876/7168/2244/6281/2243/6812/2266/91782/2247/23332/3685/5581",19
"EC","GO:2001057","reactive nitrogen species metabolic process","8/288","91/18860",0.0879120879120879,5.75702075702076,5.66449779516461,7.61607599072705e-05,0.00387990800823377,0.00316499051178769,"1191/6697/8570/6648/3320/9475/1727/3326",8
"EC","GO:0061684","chaperone-mediated autophagy","4/288","16/18860",0.25,16.3715277777778,7.65978737519933,8.38524452612521e-05,0.0042115518478709,0.0034355251748562,"9531/1191/1917/3320",4
